file,row,seance,size_bytes,dark_pixels,total_pixels,density
row74_seance1.jpg,74,1,9190,2536,30240,0.0839
row74_seance3.jpg,74,3,4450,1005,11928,0.0843
row40_seance3.jpg,40,3,4067,1004,11872,0.0846
row30_seance2.jpg,30,2,4448,1025,12084,0.0848
row83_seance3.jpg,83,3,4581,995,11715,0.0849
row78_seance5.jpg,78,5,4304,1013,11872,0.0853
row78_seance1.jpg,78,1,8731,2590,30296,0.0855
row2_seance5.jpg,2,5,4736,1026,11928,0.086
row56_seance1.jpg,56,1,8605,2594,30128,0.0861
row70_seance2.jpg,70,2,4457,1023,11872,0.0862
row44_seance1.jpg,44,1,9499,2619,30352,0.0863
row51_seance2.jpg,51,2,4498,1030,11928,0.0864
row55_seance6.jpg,55,6,2458,528,6104,0.0865
row83_seance5.jpg,83,5,4527,1015,11715,0.0866
row46_seance2.jpg,46,2,4463,1017,11715,0.0868
row55_seance2.jpg,55,2,4196,1035,11928,0.0868
row60_seance5.jpg,60,5,4219,1031,11872,0.0868
row72_seance1.jpg,72,1,8611,2639,30184,0.0874
row32_seance3.jpg,32,3,4177,1020,11660,0.0875
row55_seance3.jpg,55,3,4169,1039,11872,0.0875
row63_seance3.jpg,63,3,4319,1044,11928,0.0875
row52_seance3.jpg,52,3,4463,1040,11872,0.0876
row29_seance2.jpg,29,2,4104,1047,11928,0.0878
row79_seance3.jpg,79,3,4491,1029,11715,0.0878
row48_seance3.jpg,48,3,4495,1068,12141,0.088
row76_seance6.jpg,76,6,4427,1048,11872,0.0883
row73_seance2.jpg,73,2,4578,1050,11872,0.0884
row36_seance1.jpg,36,1,9355,2687,30296,0.0887
row18_seance5.jpg,18,5,4206,1065,11928,0.0893
row35_seance2.jpg,35,2,4107,1065,11928,0.0893
row33_seance3.jpg,33,3,4256,1088,12141,0.0896
row61_seance2.jpg,61,2,4134,1064,11816,0.09
row40_seance6.jpg,40,6,4709,1065,11816,0.0901
row76_seance3.jpg,76,3,4393,1075,11928,0.0901
row59_seance5.jpg,59,5,4452,1066,11816,0.0902
row10_seance1.jpg,10,1,8787,2702,29810,0.0906
row47_seance1.jpg,47,1,9322,2753,30352,0.0907
row32_seance2.jpg,32,2,4524,1064,11715,0.0908
row47_seance2.jpg,47,2,4556,1085,11928,0.091
row62_seance9.jpg,62,9,5187,1071,11760,0.0911
row78_seance3.jpg,78,3,4152,1093,11928,0.0916
row39_seance2.jpg,39,2,4465,1090,11872,0.0918
row35_seance3.jpg,35,3,4289,1092,11872,0.092
row52_seance5.jpg,52,5,4441,1116,12096,0.0923
row72_seance3.jpg,72,3,4302,1105,11928,0.0926
row25_seance2.jpg,25,2,4010,1107,11928,0.0928
row1_seance3.jpg,1,3,4579,1072,11502,0.0932
row45_seance5.jpg,45,5,4872,1133,12096,0.0937
row66_seance3.jpg,66,3,4700,1101,11715,0.094
row60_seance1.jpg,60,1,9162,2844,30184,0.0942
row72_seance5.jpg,72,5,4566,1122,11872,0.0945
row77_seance5.jpg,77,5,4545,1122,11872,0.0945
row24_seance2.jpg,24,2,4342,1129,11928,0.0947
row36_seance3.jpg,36,3,4459,1124,11872,0.0947
row47_seance6.jpg,47,6,4876,1141,12040,0.0948
row77_seance3.jpg,77,3,4618,1139,11928,0.0955
row31_seance1.jpg,31,1,10053,2916,30352,0.0961
row42_seance3.jpg,42,3,4522,1146,11928,0.0961
row84_seance2.jpg,84,2,4788,1141,11872,0.0961
row86_seance1.jpg,86,1,9813,2858,29755,0.0961
row4_seance5.jpg,4,5,5245,1170,12141,0.0964
row30_seance5.jpg,30,5,5103,1182,12255,0.0965
row50_seance5.jpg,50,5,4836,1167,12096,0.0965
row71_seance3.jpg,71,3,4524,1151,11928,0.0965
row11_seance2.jpg,11,2,4410,1143,11816,0.0967
row83_seance2.jpg,83,2,4887,1127,11660,0.0967
row66_seance1.jpg,66,1,9552,2870,29645,0.0968
row74_seance6.jpg,74,6,5372,1149,11872,0.0968
row69_seance3.jpg,69,3,4728,1161,11928,0.0973
row77_seance2.jpg,77,2,4611,1158,11872,0.0975
row79_seance2.jpg,79,2,4954,1139,11660,0.0977
row61_seance3.jpg,61,3,4253,1168,11928,0.0979
row76_seance1.jpg,76,1,9219,2960,30240,0.0979
row66_seance9.jpg,66,9,4876,1132,11550,0.098
row59_seance1.jpg,59,1,10468,2962,30184,0.0981
row64_seance3.jpg,64,3,4752,1170,11928,0.0981
row31_seance7.jpg,31,7,2189,331,3360,0.0985
row71_seance2.jpg,71,2,4625,1177,11872,0.0991
row85_seance3.jpg,85,3,4701,1183,11928,0.0992
row50_seance6.jpg,50,6,4693,1173,11816,0.0993
row38_seance3.jpg,38,3,4353,1186,11928,0.0994
row30_seance1.jpg,30,1,10183,3082,30894,0.0998
row71_seance1.jpg,71,1,9289,3014,30184,0.0999
row41_seance5.jpg,41,5,4824,1210,12096,0.1
row45_seance3.jpg,45,3,4224,1188,11872,0.1001
row43_seance3.jpg,43,3,4405,1174,11715,0.1002
row19_seance6.jpg,19,6,4623,1200,11928,0.1006
row67_seance3.jpg,67,3,5027,1221,12141,0.1006
row86_seance5.jpg,86,5,5014,1175,11660,0.1008
row86_seance2.jpg,86,2,4910,1179,11660,0.1011
row62_seance1.jpg,62,1,10361,3060,30184,0.1014
row17_seance1.jpg,17,1,7923,3042,29810,0.102
row9_seance4.jpg,9,4,4927,1152,11289,0.102
row71_seance5.jpg,71,5,4814,1206,11816,0.1021
row54_seance5.jpg,54,5,4924,1214,11880,0.1022
row78_seance2.jpg,78,2,4558,1215,11872,0.1023
row85_seance1.jpg,85,1,9336,3109,30296,0.1026
row65_seance1.jpg,65,1,10415,3117,30184,0.1033
row35_seance1.jpg,35,1,10152,3136,30296,0.1035
row80_seance3.jpg,80,3,4559,1234,11928,0.1035
row14_seance2.jpg,14,2,4466,1230,11872,0.1036
row53_seance1.jpg,53,1,10047,3144,30352,0.1036
row79_seance5.jpg,79,5,5123,1209,11660,0.1037
row30_seance3.jpg,30,3,4676,1256,12084,0.1039
row80_seance2.jpg,80,2,4751,1233,11872,0.1039
row81_seance2.jpg,81,2,4776,1229,11816,0.104
row42_seance1.jpg,42,1,11079,3167,30352,0.1043
row41_seance3.jpg,41,3,4574,1243,11872,0.1047
row46_seance3.jpg,46,3,4349,1226,11715,0.1047
row80_seance1.jpg,80,1,9459,3175,30240,0.105
row5_seance1.jpg,5,1,8811,3137,29810,0.1052
row63_seance1.jpg,63,1,10309,3186,30184,0.1056
row72_seance2.jpg,72,2,4930,1255,11872,0.1057
row82_seance2.jpg,82,2,5413,1285,12084,0.1063
row21_seance2.jpg,21,2,4299,1266,11872,0.1066
row59_seance3.jpg,59,3,4451,1274,11928,0.1068
row57_seance1.jpg,57,1,11529,3169,29645,0.1069
row15_seance2.jpg,15,2,4250,1267,11816,0.1072
row17_seance2.jpg,17,2,4353,1256,11660,0.1077
row79_seance1.jpg,79,1,10563,3199,29700,0.1077
row84_seance3.jpg,84,3,4885,1286,11928,0.1078
row41_seance1.jpg,41,1,10527,3278,30352,0.108
row75_seance3.jpg,75,3,5013,1265,11715,0.108
row24_seance1.jpg,24,1,9694,3282,30296,0.1083
row37_seance6.jpg,37,6,3001,663,6104,0.1086
row81_seance3.jpg,81,3,4945,1301,11984,0.1086
row22_seance7.jpg,22,7,5357,1301,11928,0.1091
row51_seance1.jpg,51,1,11066,3337,30352,0.1099
row9_seance1.jpg,9,1,4017,1230,11183,0.11
row29_seance3.jpg,29,3,4067,1310,11872,0.1103
row21_seance1.jpg,21,1,8605,3361,30352,0.1107
row18_seance1.jpg,18,1,8163,3381,30352,0.1114
row22_seance2.jpg,22,2,4567,1316,11816,0.1114
row86_seance3.jpg,86,3,4710,1312,11770,0.1115
row78_seance9.jpg,78,9,1790,300,2688,0.1116
row56_seance3.jpg,56,3,4753,1333,11928,0.1118
row22_seance1.jpg,22,1,8686,3396,30352,0.1119
row26_seance1.jpg,26,1,10705,3398,30296,0.1122
row15_seance1.jpg,15,1,9149,3408,30352,0.1123
row82_seance1.jpg,82,1,12037,3457,30780,0.1123
row4_seance2.jpg,4,2,4739,1354,12027,0.1126
